"ModelID","CCLEName","TissueOrigin","DepmapModelType","OncotreeLineage","OncotreePrimaryDisease","OncotreeSubtype","OncotreeCode","PrimaryOrMetastasis","Age","AgeCategory","Sex","PatientRace"
"ACH-000026","253JBV_URINARY_TRACT",NA,"BLCA","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA","Metastatic",53,"Adult","Male",""
"ACH-000027","GOS3_CENTRAL_NERVOUS_SYSTEM",NA,"GB","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Primary",64,"Adult","Male",""
"ACH-000028","KPL1_BREAST",NA,"BRCA","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","BRCA","Metastatic",69,"Adult","Female","caucasian"
"ACH-000029","HCC827GR5_LUNG",NA,"LUAD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD","Primary",39,"Adult","Female","caucasian"
"ACH-000030","PC14_LUNG",NA,"LUAD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD","Primary",45,"Adult","Male","asian"
"ACH-000031","PANC0213_PANCREAS",NA,"PAAD","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD","Primary",64,"Adult","Female","caucasian"
"ACH-000032","MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"BLLTCF3PBX1","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma with t(1;19)(q23;p13.3);TCF3-PBX1","BLLTCF3PBX1","Primary",11,"Pediatric","Female",""
"ACH-000033","NCIH1819_LUNG",NA,"LUAD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD","Metastatic",55,"Adult","Female","caucasian"
"ACH-000034","PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"AML","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML","Primary",35,"Adult","Female","caucasian"
"ACH-000035","NCIH1650_LUNG",NA,"NSCLC","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","NSCLC","Metastatic",27,"Adult","Male","caucasian"
"ACH-000036","U343_CENTRAL_NERVOUS_SYSTEM",NA,"GB","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Primary",64,"Adult","Male",""
"ACH-000037","S117_THYROID",NA,"SARCNOS","Soft Tissue","Sarcoma, NOS","Sarcoma, NOS","SARCNOS","",47,"Adult","Female",""
"ACH-000038","EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"BLL","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","BLL","Primary",69,"Adult","Female",""
"ACH-000039","SKNMC_BONE",NA,"ES","Bone","Ewing Sarcoma","Ewing Sarcoma","ES","Metastatic",14,"Pediatric","Female","caucasian"
"ACH-000040","U118MG_CENTRAL_NERVOUS_SYSTEM",NA,"ASTR","CNS/Brain","Diffuse Glioma","Astrocytoma","ASTR","Primary",47,"Adult","Male","caucasian"
"ACH-000041","RDES_BONE",NA,"ES","Bone","Ewing Sarcoma","Ewing Sarcoma","ES","Primary",19,"Adult","Male","caucasian"
"ACH-000042","PANC0203_PANCREAS",NA,"PAAD","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD","Primary",70,"Adult","Female","caucasian"
"ACH-000043","HS895T_FIBROBLAST",NA,"ZFIBSKI","Fibroblast","Non-Cancerous","Fibroblast, Skin","","Metastatic",48,"Adult","Female","caucasian"
"ACH-000044","MDAMB134VI_BREAST",NA,"ILC","Breast","Invasive Breast Carcinoma","Breast Invasive Lobular Carcinoma","ILC","Metastatic",47,"Adult","Female","caucasian"
"ACH-000045","MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"AML","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML","Primary",10,"Pediatric","Male",""
"ACH-000046","ACHN_KIDNEY",NA,"PRCC","Kidney","Renal Cell Carcinoma","Papillary Renal Cell Carcinoma","PRCC","Metastatic",22,"Adult","Male","caucasian"
"ACH-000047","GCIY_STOMACH",NA,"STAD","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","STAD","Metastatic",39,"Adult","Female","asian"
"ACH-000048","TOV112D_OVARY",NA,"EOV","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Endometrioid Ovarian Cancer","EOV","Primary",42,"Adult","Female","caucasian"
"ACH-000049","HEKTE_KIDNEY",NA,"ZIMMEKC","Kidney","Non-Cancerous","Immortalized Embyonic Kidney Cells","","",NA,"Unknown","Unknown",""
"ACH-000050","NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"PCM","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","PCM","Metastatic",62,"Adult","Female","caucasian"
"ACH-000051","TE617T_SOFT_TISSUE",NA,"RMS","Soft Tissue","Rhabdomyosarcoma","Rhabdomyosarcoma","RMS","Primary",1,"Pediatric","Female","caucasian"
"ACH-000052","A673_BONE",NA,"ES","Bone","Ewing Sarcoma","Ewing Sarcoma","ES","Primary",15,"Pediatric","Female",""
"ACH-000053","KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ALCLALKP","Lymphoid","Mature T and NK Neoplasms","Anaplastic Large-Cell Lymphoma ALK Positive","ALCLALKP","",25,"Adult","Male",""
"ACH-000054","HT1080_SOFT_TISSUE",NA,"FIBS","Soft Tissue","Fibrosarcoma","Fibrosarcoma","FIBS","Metastatic",35,"Adult","Male","caucasian"
"ACH-000055","D283MED_CENTRAL_NERVOUS_SYSTEM",NA,"MBL","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL","Metastatic",6,"Pediatric","Male","caucasian"
"ACH-000056","DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"DLBCLNOS","Lymphoid","Mature B-Cell Neoplasms","Diffuse Large B-Cell Lymphoma, NOS","DLBCLNOS","Metastatic",60,"Adult","Male",""
"ACH-000057","OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"PCM","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","PCM","",56,"Adult","Female",""
"ACH-000058","ML1_THYROID",NA,"THFO","Thyroid","Well-Differentiated Thyroid Cancer","Follicular Thyroid Cancer","THFO","Primary",50,"Adult","Female",""
"ACH-000059","SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"BLLBCRABL1","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2);BCR-ABL1","BLLBCRABL1","Primary",9,"Pediatric","Male","caucasian"
"ACH-000060","PANC1005_PANCREAS",NA,"PAAD","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD","Primary",81,"Adult","Male","caucasian"
"ACH-000061","HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"MTNN","Lymphoid","Non-Hodgkin Lymphoma","Mature T and NK Neoplasms","MTNN","",61,"Adult","Male","caucasian"
"ACH-000062","RERFLCMS_LUNG",NA,"LUAD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD","Primary",NA,"Unknown","Male","asian"
"ACH-000063","HS616T_FIBROBLAST",NA,"ZFIBLYM","Fibroblast","Non-Cancerous","Fibroblast","","",16,"Pediatric","Male","caucasian"
"ACH-000064","SALE_LUNG",NA,"ZIMMLUNG","Lung","Non-Cancerous","Immortalized Lung Cells","","",NA,"Unknown","Male",""
"ACH-000065","OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"AML","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML","Primary",77,"Adult","Male",""
"ACH-000066","HCC4006_LUNG",NA,"LUAD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD","Metastatic",NA,"Adult","Male","caucasian"
"ACH-000067","HS683_CENTRAL_NERVOUS_SYSTEM",NA,"ODG","CNS/Brain","Diffuse Glioma","Oligodendroglioma","ODG","Primary",76,"Adult","Male","caucasian"
"ACH-000068","REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"MCL","Lymphoid","Mature B-Cell Neoplasms","Mantle Cell Lymphoma","MCL","",61,"Adult","Male",""
"ACH-000069","HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"HL","Lymphoid","Hodgkin Lymphoma","Hodgkin Lymphoma","HL","",48,"Adult","Female",""
"ACH-000070","697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"BLLTCF3PBX1","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma with t(1;19)(q23;p13.3);TCF3-PBX1","BLLTCF3PBX1","Primary",12,"Pediatric","Male",""
"ACH-000071","HS706T_BONE",NA,"ZFIBBON","Fibroblast","Non-Cancerous","Fibroblast, Bone","","",16,"Pediatric","Female","caucasian"
"ACH-000072","MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"CMLBCRABL1","Myeloid","Myeloproliferative Neoplasms","Chronic Myeloid Leukemia, BCR-ABL1+","CMLBCRABL1","",55,"Adult","Male",""
"ACH-000073","GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"MCL","Lymphoid","Mature B-Cell Neoplasms","Mantle Cell Lymphoma","MCL","Primary",58,"Adult","Female","caucasian"
"ACH-000074","KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"CMLBCRABL1","Myeloid","Myeloproliferative Neoplasms","Chronic Myeloid Leukemia, BCR-ABL1+","CMLBCRABL1","Primary",38,"Adult","Male","asian"
"ACH-000075","U87MG_CENTRAL_NERVOUS_SYSTEM",NA,"GB","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Primary",44,"Adult","Male","caucasian"
"ACH-000076","NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"CMLBCRABL1","Myeloid","Myeloproliferative Neoplasms","Chronic Myeloid Leukemia, BCR-ABL1+","CMLBCRABL1","Primary",35,"Adult","Female",""
"ACH-000077","MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"MTNN","Lymphoid","Non-Hodgkin Lymphoma","Mature T and NK Neoplasms","MTNN","",50,"Adult","Male","caucasian"
"ACH-000078","MHHNB11_AUTONOMIC_GANGLIA",NA,"NBL","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","NBL","Metastatic",4,"Pediatric","Male","caucasian"
"ACH-000079","TE125T_FIBROBLAST",NA,"ZFIBSOF","Fibroblast","Non-Cancerous","Fibroblast, Soft Tissue","","",1,"Pediatric","Female","caucasian"
"ACH-000080","BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"AMOL","Myeloid","Acute Myeloid Leukemia","Acute Monoblastic/Monocytic Leukemia","AMOL","",NA,"Pediatric","Male",""
"ACH-000081","GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"AML","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML","Primary",66,"Adult","Female","caucasian"
"ACH-000082","G292CLONEA141B1_BONE",NA,"OS","Bone","Osteosarcoma","Osteosarcoma","OS","Primary",9,"Pediatric","Female","caucasian"
"ACH-000083","HS281T_FIBROBLAST",NA,"ZFIBBRE","Fibroblast","Non-Cancerous","Fibroblast, Breast","","",37,"Adult","Female","caucasian"
"ACH-000084","MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"AMLGATA2MECOM","Myeloid","Acute Myeloid Leukemia","AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM","AMLGATA2MECOM","",29,"Adult","Male",""
"ACH-000085","T3M4_PANCREAS",NA,"PAAD","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD","Primary",64,"Adult","Male","asian"
"ACH-000086","ACCMESO1_PLEURA",NA,"PLEMESO","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","PLEMESO","",61,"Adult","Female",""
"ACH-000087","SKES1_BONE",NA,"ES","Bone","Ewing Sarcoma","Ewing Sarcoma","ES","Primary",18,"Pediatric","Male","caucasian"
"ACH-000088","HS172T_FIBROBLAST",NA,"ZFIBURT","Fibroblast","Non-Cancerous","Fibroblast, Urinary Tract","","",50,"Adult","Male","caucasian"
"ACH-000089","NCIH684_LARGE_INTESTINE",NA,"COAD","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","COAD","Metastatic",55,"Adult","Male",""
"ACH-000090","PC3_PROSTATE",NA,"PRAD","Prostate","Prostate Adenocarcinoma","Prostate Adenocarcinoma","PRAD","Metastatic",62,"Adult","Male","caucasian"
"ACH-000091","OV56_OVARY",NA,"SOC","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Serous Ovarian Cancer","SOC","Metastatic",46,"Adult","Female",""
"ACH-000092","NCIH2452_PLEURA",NA,"PLBMESO","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Biphasic Type","PLBMESO","Metastatic",NA,"Adult","Male",""
"ACH-000093","PANC0504_PANCREAS",NA,"PAAD","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD","Primary",77,"Adult","Female","caucasian"
"ACH-000094","HPAFII_PANCREAS",NA,"PAAD","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD","Metastatic",44,"Adult","Male","caucasian"
"ACH-000095","D341MED_CENTRAL_NERVOUS_SYSTEM",NA,"MBL","CNS/Brain","Embryonal Tumor","Medulloblastoma","MBL","Primary",3,"Pediatric","Male",""
"ACH-000096","G401_SOFT_TISSUE",NA,"MRT","Kidney","Rhabdoid Cancer","Rhabdoid Cancer","MRT","Primary",0,"Pediatric","Male","caucasian"
"ACH-000097","ZR751_BREAST",NA,"IDC","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","IDC","Metastatic",63,"Adult","Female","caucasian"
"ACH-000098","GAMG_CENTRAL_NERVOUS_SYSTEM",NA,"GB","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Primary",42,"Adult","Female",""
"ACH-000099","SIMA_AUTONOMIC_GANGLIA",NA,"NBL","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","NBL","Primary",1,"Pediatric","Male","caucasian"
"ACH-000100","RH41_SOFT_TISSUE",NA,"ARMS","Soft Tissue","Rhabdomyosarcoma","Alveolar Rhabdomyosarcoma","ARMS","Metastatic",7,"Pediatric","Female",""
"ACH-000101","KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ATLL","Lymphoid","Mature T and NK Neoplasms","Adult T-Cell Leukemia/Lymphoma","ATLL","Primary",27,"Adult","Male",""
"ACH-000102","GMS10_CENTRAL_NERVOUS_SYSTEM",NA,"GB","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Primary",49,"Adult","Male",""
"ACH-000103","CAOV4_OVARY",NA,"HGSOC","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","HGSOC","Metastatic",45,"Adult","Female","caucasian"
"ACH-000104","LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ETPLL","Lymphoid","T-Lymphoblastic Leukemia/Lymphoma","Early T-Cell Precursor Lymphoblastic Leukemia","ETPLL","Primary",38,"Adult","Female","caucasian"
"ACH-000105","ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ATLL","Lymphoid","Mature T and NK Neoplasms","Adult T-Cell Leukemia/Lymphoma","ATLL","Primary",17,"Pediatric","Male",""
"ACH-000106","JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"MCL","Lymphoid","Mature B-Cell Neoplasms","Mantle Cell Lymphoma","MCL","",63,"Adult","Female",""
"ACH-000107","CAPAN2_PANCREAS",NA,"PAAD","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD","Primary",56,"Adult","Male","caucasian"
"ACH-000108","KP3_PANCREAS",NA,"PAASC","Pancreas","Adenosquamous Carcinoma of the Pancreas","Adenosquamous Carcinoma of the Pancreas","PAASC","Metastatic",75,"Adult","Male","asian"
"ACH-000109","NCIH3255_LUNG",NA,"LUAD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD","Primary",52,"Adult","Female",""
"ACH-000110","NCCSTCK140_STOMACH",NA,"STAD","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","STAD","Primary",36,"Adult","Female",""
"ACH-000111","HCC1187_BREAST",NA,"IDC","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","IDC","Primary",41,"Adult","Female","caucasian"
"ACH-000112","SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"AMOL","Myeloid","Acute Myeloid Leukemia","Acute Monoblastic/Monocytic Leukemia","AMOL","",63,"Adult","Male",""
"ACH-000113","OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"AML","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","AML","Primary",65,"Adult","Male",""
"ACH-000114","SU8686_PANCREAS",NA,"PAAD","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD","Metastatic",57,"Adult","Female","caucasian"
"ACH-000115","VCAP_PROSTATE",NA,"PRAD","Prostate","Prostate Adenocarcinoma","Prostate Adenocarcinoma","PRAD","Metastatic",59,"Adult","Male","caucasian"
"ACH-000116","OAW28_OVARY",NA,"HGSOC","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","HGSOC","Metastatic",75,"Adult","Female",""
"ACH-000117","EFM192A_BREAST",NA,"BRCA","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","BRCA","Metastatic",46,"Adult","Female","caucasian"
"ACH-000118","HUPT3_PANCREAS",NA,"PAAD","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD","Metastatic",66,"Adult","Male","asian"
"ACH-000119","HS863T_FIBROBLAST",NA,"ZFIBBON","Fibroblast","Non-Cancerous","Fibroblast, Bone","","",5,"Pediatric","Female","caucasian"
"ACH-000120","CHP212_AUTONOMIC_GANGLIA",NA,"NBL","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","NBL","Primary",1,"Pediatric","Male",""
"ACH-000121","NCIH2405_LUNG",NA,"LUAD","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","LUAD","Metastatic",47,"Adult","Male","caucasian"
"ACH-000122","SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"ATLL","Lymphoid","Mature T and NK Neoplasms","Adult T-Cell Leukemia/Lymphoma","ATLL","",74,"Adult","Male",""
"ACH-000123","COV434_OVARY",NA,"SCCO","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Small Cell Carcinoma of the Ovary","SCCO","Primary",26,"Adult","Female",""
"ACH-000124","OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"DLBCLNOS","Lymphoid","Mature B-Cell Neoplasms","Diffuse Large B-Cell Lymphoma, NOS","DLBCLNOS","Primary",27,"Adult","Female",""
"ACH-000125","TO175T_FIBROBLAST",NA,"ZFIBLYM","Fibroblast","Non-Cancerous","Fibroblast","","Metastatic",29,"Adult","Male","caucasian"
"ACH-000126","KG1C_CENTRAL_NERVOUS_SYSTEM",NA,"ODG","CNS/Brain","Diffuse Glioma","Oligodendroglioma","ODG","Primary",13,"Pediatric","Male",""
"ACH-000127","SLR20_KIDNEY",NA,"BLCA","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA","Primary",81,"Adult","Female","caucasian"
"ACH-000128","LN319_CENTRAL_NERVOUS_SYSTEM",NA,"ASTR","CNS/Brain","Diffuse Glioma","Astrocytoma","ASTR","Primary",67,"Adult","Male",""
"ACH-000129","NCIH1341_LUNG",NA,"SMARCA4-UT","Lung","SMARCA4-deficient undifferentiated tumor","SMARCA4-deficient undifferentiated tumor","","Metastatic",26,"Adult","Female",""
"ACH-000130","NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"BLL","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","BLL","Primary",26,"Adult","Male",""
"ACH-000131","HS229T_FIBROBLAST",NA,"ZFIBLUN","Fibroblast","Non-Cancerous","Fibroblast, Lung","","Primary",65,"Adult","Male","caucasian"
"ACH-000132","JHOS2_OVARY",NA,"HGSOC","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","HGSOC","Primary",45,"Adult","Female","asian"
"ACH-000133","HS729_SOFT_TISSUE",NA,"ZFIB","Fibroblast","Non-Cancerous","Fibroblast","","Primary",74,"Adult","Male","caucasian"
"ACH-000134","HS274T_FIBROBLAST",NA,"ZFIBBRE","Fibroblast","Non-Cancerous","Fibroblast, Breast","","",66,"Adult","Female","caucasian"
"ACH-000135","HS940T_FIBROBLAST",NA,"ZFIBSKI","Fibroblast","Non-Cancerous","Fibroblast, Skin","","Primary",57,"Adult","Male","caucasian"
"ACH-000136","CHP126_AUTONOMIC_GANGLIA",NA,"NBL","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","NBL","Primary",1,"Pediatric","Female",""
"ACH-000137","8MGBA_CENTRAL_NERVOUS_SYSTEM",NA,"GB","CNS/Brain","Diffuse Glioma","Glioblastoma","GB","Primary",54,"Adult","Female","black_or_african_american"
"ACH-000138","CFPAC1_PANCREAS",NA,"PAAD","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD","Metastatic",26,"Adult","Male","caucasian"
"ACH-000139","PANC0327_PANCREAS",NA,"PAAD","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","PAAD","Primary",65,"Adult","Female","caucasian"
"ACH-000140","PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"DLBCLNOS","Lymphoid","Mature B-Cell Neoplasms","Diffuse Large B-Cell Lymphoma, NOS","DLBCLNOS","Metastatic",NA,"Adult","Male","caucasian"
"ACH-000141","SNU308_BILIARY_TRACT",NA,"GBAD","Biliary Tract","Intracholecystic Papillary Neoplasm","Gallbladder Adenocarcinoma, NOS","GBAD","Primary",NA,"Unknown","Unknown",""
"ACH-000142","CAL29_URINARY_TRACT",NA,"BLCA","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","BLCA","Primary",80,"Adult","Female",""
