"WellRow"	"WellColumn"	"Gnumber"	"Concentration"	"Template"
"E"	14	"G00003"	0.001	"treated.tsv"
"F"	15	"G00003"	0.001	"treated.tsv"
"G"	16	"G00003"	0.001	"treated.tsv"
"H"	17	"G00003"	0.001	"treated.tsv"
"I"	18	"G00003"	0.001	"treated.tsv"
"J"	19	"G00003"	0.001	"treated.tsv"
"K"	20	"G00003"	0.001	"treated.tsv"
"L"	21	"G00003"	0.001	"treated.tsv"
"M"	22	"G00003"	0.001	"treated.tsv"
"C"	23	"G00004"	0.001	"treated.tsv"
"D"	24	"G00004"	0.001	"treated.tsv"
"E"	25	"G00004"	0.001	"treated.tsv"
"F"	26	"G00004"	0.001	"treated.tsv"
"G"	27	"G00004"	0.001	"treated.tsv"
"H"	28	"G00004"	0.001	"treated.tsv"
"I"	29	"G00004"	0.001	"treated.tsv"
"J"	30	"G00004"	0.001	"treated.tsv"
"K"	31	"G00004"	0.001	"treated.tsv"
"L"	32	"G00004"	0.001	"treated.tsv"
"M"	33	"G00005"	0.001	"treated.tsv"
"C"	34	"G00005"	0.001	"treated.tsv"
"D"	35	"G00005"	0.001	"treated.tsv"
"E"	36	"G00005"	0.001	"treated.tsv"
"F"	37	"G00005"	0.001	"treated.tsv"
"G"	38	"G00005"	0.001	"treated.tsv"
"H"	39	"G00005"	0.001	"treated.tsv"
"I"	40	"G00005"	0.001	"treated.tsv"
"J"	41	"G00005"	0.001	"treated.tsv"
"K"	42	"G00005"	0.001	"treated.tsv"
"L"	43	"G00006"	0.001	"treated.tsv"
"M"	44	"G00006"	0.001	"treated.tsv"
"C"	45	"G00006"	0.001	"treated.tsv"
"D"	46	"G00006"	0.001	"treated.tsv"
"E"	47	"G00006"	0.001	"treated.tsv"
"F"	48	"G00006"	0.001	"treated.tsv"
"G"	49	"G00006"	0.001	"treated.tsv"
"H"	50	"G00006"	0.001	"treated.tsv"
"I"	51	"G00006"	0.001	"treated.tsv"
"J"	52	"G00006"	0.001	"treated.tsv"
"K"	53	"G00007"	0.001	"treated.tsv"
"L"	54	"G00007"	0.001	"treated.tsv"
"M"	55	"G00007"	0.001	"treated.tsv"
"C"	56	"G00007"	0.001	"treated.tsv"
"D"	57	"G00007"	0.001	"treated.tsv"
"E"	58	"G00007"	0.001	"treated.tsv"
"F"	59	"G00007"	0.001	"treated.tsv"
"G"	60	"G00007"	0.001	"treated.tsv"
"H"	61	"G00007"	0.001	"treated.tsv"
"I"	62	"G00007"	0.001	"treated.tsv"
"J"	63	"G00008"	0.001	"treated.tsv"
"K"	64	"G00008"	0.001	"treated.tsv"
"L"	65	"G00008"	0.001	"treated.tsv"
"M"	66	"G00008"	0.001	"treated.tsv"
"C"	67	"G00008"	0.001	"treated.tsv"
"D"	68	"G00008"	0.001	"treated.tsv"
"E"	69	"G00008"	0.001	"treated.tsv"
"F"	70	"G00008"	0.001	"treated.tsv"
"G"	71	"G00008"	0.001	"treated.tsv"
"H"	72	"G00008"	0.001	"treated.tsv"
"I"	73	"G00009"	0.001	"treated.tsv"
"J"	74	"G00009"	0.001	"treated.tsv"
"K"	75	"G00009"	0.001	"treated.tsv"
"L"	76	"G00009"	0.001	"treated.tsv"
"M"	77	"G00009"	0.001	"treated.tsv"
"C"	78	"G00009"	0.001	"treated.tsv"
"D"	79	"G00009"	0.001	"treated.tsv"
"E"	80	"G00009"	0.001	"treated.tsv"
"F"	81	"G00009"	0.001	"treated.tsv"
"G"	82	"G00009"	0.001	"treated.tsv"
"H"	83	"G00010"	0.001	"treated.tsv"
"I"	84	"G00010"	0.001	"treated.tsv"
"J"	85	"G00010"	0.001	"treated.tsv"
"K"	86	"G00010"	0.001	"treated.tsv"
"L"	87	"G00010"	0.001	"treated.tsv"
"M"	88	"G00010"	0.001	"treated.tsv"
"C"	89	"G00010"	0.001	"treated.tsv"
"D"	90	"G00010"	0.001	"treated.tsv"
"E"	91	"G00010"	0.001	"treated.tsv"
"F"	92	"G00010"	0.001	"treated.tsv"
"G"	93	"G00011"	0.001	"treated.tsv"
"H"	94	"G00011"	0.001	"treated.tsv"
"I"	95	"G00011"	0.001	"treated.tsv"
"J"	96	"G00011"	0.001	"treated.tsv"
"K"	97	"G00011"	0.001	"treated.tsv"
"L"	98	"G00011"	0.001	"treated.tsv"
"M"	99	"G00011"	0.001	"treated.tsv"
"C"	100	"G00011"	0.001	"treated.tsv"
"D"	101	"G00011"	0.001	"treated.tsv"
"E"	102	"G00011"	0.001	"treated.tsv"
"F"	3	"G00002"	0.00316227766016838	"treated.tsv"
"G"	4	"G00002"	0.00316227766016838	"treated.tsv"
"H"	5	"G00002"	0.00316227766016838	"treated.tsv"
"I"	6	"G00002"	0.00316227766016838	"treated.tsv"
"J"	7	"G00002"	0.00316227766016838	"treated.tsv"
"K"	8	"G00002"	0.00316227766016838	"treated.tsv"
"L"	9	"G00002"	0.00316227766016838	"treated.tsv"
"M"	10	"G00002"	0.00316227766016838	"treated.tsv"
"C"	11	"G00002"	0.00316227766016838	"treated.tsv"
"D"	12	"G00002"	0.00316227766016838	"treated.tsv"
"E"	13	"G00003"	0.00316227766016838	"treated.tsv"
"F"	14	"G00003"	0.00316227766016838	"treated.tsv"
"G"	15	"G00003"	0.00316227766016838	"treated.tsv"
"H"	16	"G00003"	0.00316227766016838	"treated.tsv"
"I"	17	"G00003"	0.00316227766016838	"treated.tsv"
"J"	18	"G00003"	0.00316227766016838	"treated.tsv"
"K"	19	"G00003"	0.00316227766016838	"treated.tsv"
"L"	20	"G00003"	0.00316227766016838	"treated.tsv"
"M"	21	"G00003"	0.00316227766016838	"treated.tsv"
"C"	22	"G00003"	0.00316227766016838	"treated.tsv"
"D"	23	"G00004"	0.00316227766016838	"treated.tsv"
"E"	24	"G00004"	0.00316227766016838	"treated.tsv"
"F"	25	"G00004"	0.00316227766016838	"treated.tsv"
"G"	26	"G00004"	0.00316227766016838	"treated.tsv"
"H"	27	"G00004"	0.00316227766016838	"treated.tsv"
"I"	28	"G00004"	0.00316227766016838	"treated.tsv"
"J"	29	"G00004"	0.00316227766016838	"treated.tsv"
"K"	30	"G00004"	0.00316227766016838	"treated.tsv"
"L"	31	"G00004"	0.00316227766016838	"treated.tsv"
"M"	32	"G00004"	0.00316227766016838	"treated.tsv"
"C"	33	"G00005"	0.00316227766016838	"treated.tsv"
"D"	34	"G00005"	0.00316227766016838	"treated.tsv"
"E"	35	"G00005"	0.00316227766016838	"treated.tsv"
"F"	36	"G00005"	0.00316227766016838	"treated.tsv"
"G"	37	"G00005"	0.00316227766016838	"treated.tsv"
"H"	38	"G00005"	0.00316227766016838	"treated.tsv"
"I"	39	"G00005"	0.00316227766016838	"treated.tsv"
"J"	40	"G00005"	0.00316227766016838	"treated.tsv"
"K"	41	"G00005"	0.00316227766016838	"treated.tsv"
"L"	42	"G00005"	0.00316227766016838	"treated.tsv"
"M"	43	"G00006"	0.00316227766016838	"treated.tsv"
"C"	44	"G00006"	0.00316227766016838	"treated.tsv"
"D"	45	"G00006"	0.00316227766016838	"treated.tsv"
"E"	46	"G00006"	0.00316227766016838	"treated.tsv"
"F"	47	"G00006"	0.00316227766016838	"treated.tsv"
"G"	48	"G00006"	0.00316227766016838	"treated.tsv"
"H"	49	"G00006"	0.00316227766016838	"treated.tsv"
"I"	50	"G00006"	0.00316227766016838	"treated.tsv"
"J"	51	"G00006"	0.00316227766016838	"treated.tsv"
"K"	52	"G00006"	0.00316227766016838	"treated.tsv"
"L"	53	"G00007"	0.00316227766016838	"treated.tsv"
"M"	54	"G00007"	0.00316227766016838	"treated.tsv"
"C"	55	"G00007"	0.00316227766016838	"treated.tsv"
"D"	56	"G00007"	0.00316227766016838	"treated.tsv"
"E"	57	"G00007"	0.00316227766016838	"treated.tsv"
"F"	58	"G00007"	0.00316227766016838	"treated.tsv"
"G"	59	"G00007"	0.00316227766016838	"treated.tsv"
"H"	60	"G00007"	0.00316227766016838	"treated.tsv"
"I"	61	"G00007"	0.00316227766016838	"treated.tsv"
"J"	62	"G00007"	0.00316227766016838	"treated.tsv"
"K"	63	"G00008"	0.00316227766016838	"treated.tsv"
"L"	64	"G00008"	0.00316227766016838	"treated.tsv"
"M"	65	"G00008"	0.00316227766016838	"treated.tsv"
"C"	66	"G00008"	0.00316227766016838	"treated.tsv"
"D"	67	"G00008"	0.00316227766016838	"treated.tsv"
"E"	68	"G00008"	0.00316227766016838	"treated.tsv"
"F"	69	"G00008"	0.00316227766016838	"treated.tsv"
"G"	70	"G00008"	0.00316227766016838	"treated.tsv"
"H"	71	"G00008"	0.00316227766016838	"treated.tsv"
"I"	72	"G00008"	0.00316227766016838	"treated.tsv"
"J"	73	"G00009"	0.00316227766016838	"treated.tsv"
"K"	74	"G00009"	0.00316227766016838	"treated.tsv"
"L"	75	"G00009"	0.00316227766016838	"treated.tsv"
"M"	76	"G00009"	0.00316227766016838	"treated.tsv"
"C"	77	"G00009"	0.00316227766016838	"treated.tsv"
"D"	78	"G00009"	0.00316227766016838	"treated.tsv"
"E"	79	"G00009"	0.00316227766016838	"treated.tsv"
"F"	80	"G00009"	0.00316227766016838	"treated.tsv"
"G"	81	"G00009"	0.00316227766016838	"treated.tsv"
"H"	82	"G00009"	0.00316227766016838	"treated.tsv"
"I"	83	"G00010"	0.00316227766016838	"treated.tsv"
"J"	84	"G00010"	0.00316227766016838	"treated.tsv"
"K"	85	"G00010"	0.00316227766016838	"treated.tsv"
"L"	86	"G00010"	0.00316227766016838	"treated.tsv"
"M"	87	"G00010"	0.00316227766016838	"treated.tsv"
"C"	88	"G00010"	0.00316227766016838	"treated.tsv"
"D"	89	"G00010"	0.00316227766016838	"treated.tsv"
"E"	90	"G00010"	0.00316227766016838	"treated.tsv"
"F"	91	"G00010"	0.00316227766016838	"treated.tsv"
"G"	92	"G00010"	0.00316227766016838	"treated.tsv"
"H"	93	"G00011"	0.00316227766016838	"treated.tsv"
"I"	94	"G00011"	0.00316227766016838	"treated.tsv"
"J"	95	"G00011"	0.00316227766016838	"treated.tsv"
"K"	96	"G00011"	0.00316227766016838	"treated.tsv"
"L"	97	"G00011"	0.00316227766016838	"treated.tsv"
"M"	98	"G00011"	0.00316227766016838	"treated.tsv"
"C"	99	"G00011"	0.00316227766016838	"treated.tsv"
"D"	100	"G00011"	0.00316227766016838	"treated.tsv"
"E"	101	"G00011"	0.00316227766016838	"treated.tsv"
"F"	102	"G00011"	0.00316227766016838	"treated.tsv"
"G"	3	"G00002"	0.01	"treated.tsv"
"H"	4	"G00002"	0.01	"treated.tsv"
"I"	5	"G00002"	0.01	"treated.tsv"
"J"	6	"G00002"	0.01	"treated.tsv"
"K"	7	"G00002"	0.01	"treated.tsv"
"L"	8	"G00002"	0.01	"treated.tsv"
"M"	9	"G00002"	0.01	"treated.tsv"
"C"	10	"G00002"	0.01	"treated.tsv"
"D"	11	"G00002"	0.01	"treated.tsv"
"E"	12	"G00002"	0.01	"treated.tsv"
"F"	13	"G00003"	0.01	"treated.tsv"
"G"	14	"G00003"	0.01	"treated.tsv"
"H"	15	"G00003"	0.01	"treated.tsv"
"I"	16	"G00003"	0.01	"treated.tsv"
"J"	17	"G00003"	0.01	"treated.tsv"
"K"	18	"G00003"	0.01	"treated.tsv"
"L"	19	"G00003"	0.01	"treated.tsv"
"M"	20	"G00003"	0.01	"treated.tsv"
"C"	21	"G00003"	0.01	"treated.tsv"
"D"	22	"G00003"	0.01	"treated.tsv"
"E"	23	"G00004"	0.01	"treated.tsv"
"F"	24	"G00004"	0.01	"treated.tsv"
"G"	25	"G00004"	0.01	"treated.tsv"
"H"	26	"G00004"	0.01	"treated.tsv"
"I"	27	"G00004"	0.01	"treated.tsv"
"J"	28	"G00004"	0.01	"treated.tsv"
"K"	29	"G00004"	0.01	"treated.tsv"
"L"	30	"G00004"	0.01	"treated.tsv"
"M"	31	"G00004"	0.01	"treated.tsv"
"C"	32	"G00004"	0.01	"treated.tsv"
"D"	33	"G00005"	0.01	"treated.tsv"
"E"	34	"G00005"	0.01	"treated.tsv"
"F"	35	"G00005"	0.01	"treated.tsv"
"G"	36	"G00005"	0.01	"treated.tsv"
"H"	37	"G00005"	0.01	"treated.tsv"
"I"	38	"G00005"	0.01	"treated.tsv"
"J"	39	"G00005"	0.01	"treated.tsv"
"K"	40	"G00005"	0.01	"treated.tsv"
"L"	41	"G00005"	0.01	"treated.tsv"
"M"	42	"G00005"	0.01	"treated.tsv"
"C"	43	"G00006"	0.01	"treated.tsv"
"D"	44	"G00006"	0.01	"treated.tsv"
"E"	45	"G00006"	0.01	"treated.tsv"
"F"	46	"G00006"	0.01	"treated.tsv"
"G"	47	"G00006"	0.01	"treated.tsv"
"H"	48	"G00006"	0.01	"treated.tsv"
"I"	49	"G00006"	0.01	"treated.tsv"
"J"	50	"G00006"	0.01	"treated.tsv"
"K"	51	"G00006"	0.01	"treated.tsv"
"L"	52	"G00006"	0.01	"treated.tsv"
"M"	53	"G00007"	0.01	"treated.tsv"
"C"	54	"G00007"	0.01	"treated.tsv"
"D"	55	"G00007"	0.01	"treated.tsv"
"E"	56	"G00007"	0.01	"treated.tsv"
"F"	57	"G00007"	0.01	"treated.tsv"
"G"	58	"G00007"	0.01	"treated.tsv"
"H"	59	"G00007"	0.01	"treated.tsv"
"I"	60	"G00007"	0.01	"treated.tsv"
"J"	61	"G00007"	0.01	"treated.tsv"
"K"	62	"G00007"	0.01	"treated.tsv"
"L"	63	"G00008"	0.01	"treated.tsv"
"M"	64	"G00008"	0.01	"treated.tsv"
"C"	65	"G00008"	0.01	"treated.tsv"
"D"	66	"G00008"	0.01	"treated.tsv"
"E"	67	"G00008"	0.01	"treated.tsv"
"F"	68	"G00008"	0.01	"treated.tsv"
"G"	69	"G00008"	0.01	"treated.tsv"
"H"	70	"G00008"	0.01	"treated.tsv"
"I"	71	"G00008"	0.01	"treated.tsv"
"J"	72	"G00008"	0.01	"treated.tsv"
"K"	73	"G00009"	0.01	"treated.tsv"
"L"	74	"G00009"	0.01	"treated.tsv"
"M"	75	"G00009"	0.01	"treated.tsv"
"C"	76	"G00009"	0.01	"treated.tsv"
"D"	77	"G00009"	0.01	"treated.tsv"
"E"	78	"G00009"	0.01	"treated.tsv"
"F"	79	"G00009"	0.01	"treated.tsv"
"G"	80	"G00009"	0.01	"treated.tsv"
"H"	81	"G00009"	0.01	"treated.tsv"
"I"	82	"G00009"	0.01	"treated.tsv"
"J"	83	"G00010"	0.01	"treated.tsv"
"K"	84	"G00010"	0.01	"treated.tsv"
"L"	85	"G00010"	0.01	"treated.tsv"
"M"	86	"G00010"	0.01	"treated.tsv"
"C"	87	"G00010"	0.01	"treated.tsv"
"D"	88	"G00010"	0.01	"treated.tsv"
"E"	89	"G00010"	0.01	"treated.tsv"
"F"	90	"G00010"	0.01	"treated.tsv"
"G"	91	"G00010"	0.01	"treated.tsv"
"H"	92	"G00010"	0.01	"treated.tsv"
"I"	93	"G00011"	0.01	"treated.tsv"
"J"	94	"G00011"	0.01	"treated.tsv"
"K"	95	"G00011"	0.01	"treated.tsv"
"L"	96	"G00011"	0.01	"treated.tsv"
"M"	97	"G00011"	0.01	"treated.tsv"
"C"	98	"G00011"	0.01	"treated.tsv"
"D"	99	"G00011"	0.01	"treated.tsv"
"E"	100	"G00011"	0.01	"treated.tsv"
"F"	101	"G00011"	0.01	"treated.tsv"
"G"	102	"G00011"	0.01	"treated.tsv"
"H"	3	"G00002"	0.0316227766016838	"treated.tsv"
"I"	4	"G00002"	0.0316227766016838	"treated.tsv"
"J"	5	"G00002"	0.0316227766016838	"treated.tsv"
"K"	6	"G00002"	0.0316227766016838	"treated.tsv"
"L"	7	"G00002"	0.0316227766016838	"treated.tsv"
"M"	8	"G00002"	0.0316227766016838	"treated.tsv"
"C"	9	"G00002"	0.0316227766016838	"treated.tsv"
"D"	10	"G00002"	0.0316227766016838	"treated.tsv"
"E"	11	"G00002"	0.0316227766016838	"treated.tsv"
"F"	12	"G00002"	0.0316227766016838	"treated.tsv"
"G"	13	"G00003"	0.0316227766016838	"treated.tsv"
"H"	14	"G00003"	0.0316227766016838	"treated.tsv"
"I"	15	"G00003"	0.0316227766016838	"treated.tsv"
"J"	16	"G00003"	0.0316227766016838	"treated.tsv"
"K"	17	"G00003"	0.0316227766016838	"treated.tsv"
"L"	18	"G00003"	0.0316227766016838	"treated.tsv"
"M"	19	"G00003"	0.0316227766016838	"treated.tsv"
"C"	20	"G00003"	0.0316227766016838	"treated.tsv"
"D"	21	"G00003"	0.0316227766016838	"treated.tsv"
"E"	22	"G00003"	0.0316227766016838	"treated.tsv"
"F"	23	"G00004"	0.0316227766016838	"treated.tsv"
"G"	24	"G00004"	0.0316227766016838	"treated.tsv"
"H"	25	"G00004"	0.0316227766016838	"treated.tsv"
"I"	26	"G00004"	0.0316227766016838	"treated.tsv"
"J"	27	"G00004"	0.0316227766016838	"treated.tsv"
"K"	28	"G00004"	0.0316227766016838	"treated.tsv"
"L"	29	"G00004"	0.0316227766016838	"treated.tsv"
"M"	30	"G00004"	0.0316227766016838	"treated.tsv"
"C"	31	"G00004"	0.0316227766016838	"treated.tsv"
"D"	32	"G00004"	0.0316227766016838	"treated.tsv"
"E"	33	"G00005"	0.0316227766016838	"treated.tsv"
"F"	34	"G00005"	0.0316227766016838	"treated.tsv"
"G"	35	"G00005"	0.0316227766016838	"treated.tsv"
"H"	36	"G00005"	0.0316227766016838	"treated.tsv"
"I"	37	"G00005"	0.0316227766016838	"treated.tsv"
"J"	38	"G00005"	0.0316227766016838	"treated.tsv"
"K"	39	"G00005"	0.0316227766016838	"treated.tsv"
